,root_id,nucleus_id,volume,clf_type,cell_type,mtype,axon_length,dendrite_length,max_dend_y_path_dist_to_soma,max_dend_y_euclid_dist_to_soma,ds_num_of_incoming_synapses,ds_num_of_outgoing_synapses,ds_incoming_syn_mean_weight,ds_outgoing_syn_mean_weight,ds_incoming_syn_sum_weight,ds_outgoing_syn_sum_weight,ds_incoming_syn_std_weight,ds_outgoing_syn_std_weight,num_of_incoming_synapses,num_of_outgoing_synapses,num_of_incoming_neurons,num_of_outgoing_neurons,num_of_ex_incoming_synapses,num_of_ex_outgoing_synapses,num_of_inh_incoming_synapses,num_of_inh_outgoing_synapses,incoming_syn_mean_weight,incoming_syn_sum_weight,incoming_syn_std_weight,outgoing_syn_mean_weight,outgoing_syn_sum_weight,outgoing_syn_std_weight,ex_incoming_syn_mean_weight,ex_incoming_syn_sum_weight,ex_incoming_syn_std_weight,ex_outgoing_syn_mean_weight,ex_outgoing_syn_sum_weight,ex_outgoing_syn_std_weight,inh_incoming_syn_mean_weight,inh_incoming_syn_sum_weight,inh_incoming_syn_std_weight,inh_outgoing_syn_mean_weight,inh_outgoing_syn_sum_weight,inh_outgoing_syn_std_weight
857,864691135920571056,262696,255.08216832,E,4P,L4b,6220.27099609375,1666.890625,339.8913001641631,300.781334230427,1174,896,7728.364565587734,8216.294642857143,9073100,7361800,7220.366811266477,7731.763478315548,52,59,30,50,9,32,43,27,3817.6153846153848,198516,3135.165436401956,8265.966101694916,487692,7460.007774717858,6894.666666666667,62052,4534.715083540408,10779.125,344932.0,9010.592751554972,3173.5813953488373,136464.0,2277.2849014659023,5287.407407407408,142760.0,3004.295335623453
858,864691135927258126,260303,310.5693696,E,4P,L4a,4522.75244140625,2797.459716796875,289.1953012794256,266.16398948728147,2751,387,7698.35405307161,4987.937984496124,21178172,1930332,7708.536849700859,4718.995618215055,112,65,49,44,25,30,87,35,4110.75,460404,3746.34221727388,6091.446153846154,395944,5475.526928014168,7501.76,187544,5663.014725603316,8081.6,242448.0,7204.397516332184,3136.32183908046,272860.0,2144.5050201566505,4385.6,153496.0,2210.508140677161
859,864691135927509716,301120,315.84534528,I,BC,PTC,16107.05078125,3825.62353515625,210.9956561177969,165.5151460208136,9018,4533,4735.941893989798,4492.453562761968,42708724,20364292,3010.104509899636,3633.243318824416,460,663,238,295,381,597,79,66,5335.626086956522,2454388,3148.706417509784,4729.550527903469,3135692,3704.1714184851576,5452.9238845144355,2077564,2978.6957823450584,4703.537688442211,2808012.0,3780.389312948774,4769.9240506329115,376824.0,3814.7065642650527,4964.848484848485,327680.0,2915.3649817892715
860,864691135927533070,309351,286.00827904,E,6P-IT,L6short-b,4676.732421875,2686.47900390625,145.53015367686749,110.08718003310332,2031,345,6384.592811422945,6657.031884057971,12967108,2296676,6191.816701670654,5516.868383014511,29,40,13,31,5,26,24,14,4039.1724137931033,117136,2669.948702451371,6839.9,273596,5850.599387242301,2137.6,10688,1158.6712389629768,6030.461538461538,156792.0,6215.350929078553,4435.333333333333,106448.0,2724.66381208561,8343.142857142857,116804.0,4751.796334878344
861,864691135927935444,298958,273.15912704,E,4P,L4b,4380.90966796875,2498.572265625,349.8826524913311,324.9411708871154,1782,320,7128.727272727273,7335.95,12703392,2347504,6412.053893595566,6690.767287650946,86,28,41,21,21,16,65,12,4100.232558139535,352620,4331.655050993839,7784.857142857143,217976,7088.05460775021,7649.9047619047615,160648,6626.449813722794,10235.5,163768.0,8357.190541683252,2953.4153846153845,191972.0,2291.9280354678053,4517.333333333333,54208.0,2328.1147356224137
862,864691135927970516,262772,272.31731712,E,4P,L4b,3315.178955078125,2431.03271484375,380.3184843212366,337.9859131846593,2003,279,7062.234648027958,6837.691756272401,14145656,1907716,6843.3222085900525,6647.409149945407,57,31,38,27,15,20,42,11,4126.456140350877,235208,3886.855853194832,6318.322580645161,195868,6358.64930061407,6093.333333333333,91400,5948.059209150121,7297.2,145944.0,7214.577697966804,3424.0,143808.0,2447.9878617812983,4538.545454545455,49924.0,3794.6700506616417
863,864691135928434132,294822,302.38048256,E,23P,L3a,4492.15625,3877.6298828125,245.62887480668724,203.36426204124436,4345,253,8142.747986191024,6709.359683794466,35380240,1697468,7945.537216813082,7146.83217263629,131,56,68,43,34,29,97,27,5591.419847328244,732476,6101.86746781021,7652.071428571428,428516,8235.912942406443,8643.176470588236,293868,7930.470308991725,9652.551724137931,279924.0,10773.674209454384,4521.731958762886,438608.0,4881.6032487974035,5503.407407407408,148592.0,2664.56088049627
864,864691135938404612,301200,220.086272,I,BPC,ITC,2605.99853515625,2207.902587890625,186.06115999817848,121.86115728610775,4008,233,4406.279441117765,5864.274678111588,17660368,1366376,3219.812077455489,5710.541180738692,92,51,67,34,37,16,55,35,5129.173913043478,471884,2937.72313716317,7249.9607843137255,369748,7281.276094689007,5549.621621621622,205336,2927.1118811787687,8572.0,137152.0,9862.195293138338,4846.327272727272,266548.0,2910.8690801861,6645.6,232596.0,5623.703158189323
865,864691135938604804,294539,367.67481856,E,23P,L3a,12522.8486328125,4225.0849609375,209.17489840090275,187.37750683621707,5849,1303,8098.16310480424,8055.812739831159,47366156,10496724,9197.794083220853,8332.933783764032,250,121,98,87,52,72,198,49,4775.6,1193900,5584.943499087524,8518.545454545454,1030744,10529.116308975501,7777.7692307692305,404444,9640.785298797748,11303.388888888889,813844.0,12705.94355514549,3987.151515151515,789456.0,3461.9198164352388,4426.530612244898,216900.0,2898.679862099373
866,864691135938816260,258398,271.59871488,E,23P,L3a,4357.84765625,3949.40234375,239.94400767982006,206.94232252134853,4889,264,8003.448557987318,7584.409090909091,39128860,2002284,8092.523306257826,8677.53088132108,193,57,84,46,40,27,153,30,4393.554404145078,847956,4971.10093084588,6607.228070175439,376612,6460.09498332633,8265.4,330616,8629.357498678566,7961.037037037037,214948.0,8529.273172462006,3381.3071895424837,517340.0,2600.06965537928,5388.8,161664.0,3268.7360085105274
